2011/4/3
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.576899830971467,-0.3682135351923529,-0.9794778011854046
1:0:0,0.42769851037665335,-0.5192530564472997,-0.8978171946777976
2:0:0,0.3730123531202222,-0.6232863775782213,-0.9085974228007079
3:0:0,0.2825003699014311,-0.7832124181225854,-0.7848688941614903
4:0:0,0.16114749739731699,-0.8655446572734407,-0.7097175246866069
5:0:0,0.06375573091175502,-0.8607459516737971,-0.5905186481435152
6:0:0,-0.06773793618701295,-0.999667246106382,-0.47295734224363195
7:0:0,-0.24655175818483194,-1.0087450697838487,-0.3737780247223461
8:0:0,-0.3349625945883318,-0.9686872510381173,-0.3247567132766851
9:0:0,-0.37444633210827194,-1.0222816734637528,-0.19957194632776154
10:0:0,-0.46882357740915526,-0.9116341691431369,0.010367458883817578
11:0:0,-0.5844209183652571,-0.8851398063661611,0.13951763984337462
12:0:0,-0.6446721899052903,-0.7999017271569381,0.18268987031390868
13:0:0,-0.7321744704798524,-0.7452606575499465,0.3409092457444502
14:0:0,-0.8098875052041663,-0.6772580525898857,0.4186898044026948
15:0:0,-0.8704180439583737,-0.5173733358282258,0.5825912531679813
16:0:0,-0.9431493652685757,-0.377621368929656,0.664261768811012
17:0:0,-0.9231626175521541,-0.312793389467817,0.7078373582091381
18:0:0,-0.9496790779359152,-0.18953634510758754,0.8677929636777468
19:0:0,-0.9669182533231827,0.015329148345136176,0.8403612224676695
20:0:0,-1.0029477432649958,0.12349236207515128,0.9639635202397383
21:0:0,-0.9985770558430901,0.3166630661505868,0.9598016723570559
22:0:0,-0.9445920897436562,0.4236560069752762,0.9828278999601312
23:0:0,-0.922150804067591,0.5882617411069293,1.043699924317986
