2011/4/16
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.17314029321137492,-0.29924973392639176,0.4359015742992584
1:0:0,0.0278314026519693,-0.15636434710971955,0.2003362247297196
2:0:0,-0.10290472916838811,0.007519959400828417,0.012939057652717184
3:0:0,-0.31402463416636667,0.13540789479856113,-0.13257630939777973
4:0:0,-0.3912618724682313,0.2392258295547106,-0.3726683878634656
5:0:0,-0.5840359783656197,0.45006603336694867,-0.5220666771674315
6:0:0,-0.6933515652024094,0.5881999388507769,-0.7275256620906115
7:0:0,-0.7940576116607083,0.6891942652252041,-0.8336227356499903
8:0:0,-0.8567925594729113,0.7382817737765938,-0.9644615527154563
9:0:0,-0.9288702521488655,0.8814705861069863,-0.9915104234780385
10:0:0,-0.9718919047685497,0.8849540791067065,-0.9915545217416089
11:0:0,-1.0150915649485102,0.9863353339889313,-1.0172986071201944
12:0:0,-1.0467646813001932,0.9951755742393962,-0.9652618888526338
13:0:0,-1.0050140553714004,1.0341269110079316,-0.8516558449175236
14:0:0,-1.0044643383854446,0.9515972114086455,-0.7310911916541455
15:0:0,-0.9473154335601855,0.9879578949238835,-0.5296233950727577
16:0:0,-0.8896645993574289,0.9269164742972585,-0.3884386424568077
17:0:0,-0.7058020720544356,0.8849216067332252,-0.14562076353613737
18:0:0,-0.6521814096037469,0.7203080672733342,0.006560532230566487
19:0:0,-0.5245334520234689,0.6406339487398361,0.27204602403324846
20:0:0,-0.38666218420658593,0.5593621736408346,0.40582898650976207
21:0:0,-0.24543710740772295,0.4356444646152764,0.5633760512833071
22:0:0,-0.16295707015318014,0.2645684212468712,0.7486752959378428
23:0:0,-0.021401988497631017,0.1583669462028544,0.8491368282200745
